Path,Conversion
10 > 1 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
10 > 10 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 10 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 10 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 10 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
10 > 10 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
10 > 10 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
10 > 11 > . > . > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > ,1
10 > 11 > . > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > ,1
10 > 11 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 11 > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 11 > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
10 > 11 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,6
10 > 11 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,7
10 > 11 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,9
10 > 11 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,5
10 > 11 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,12
10 > 11 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,11
10 > 12 > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 12 > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 12 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
